冊別,類型,篇名,來源單元,題號,題目,選項A,選項B,選項C,選項D,選項E,選項F,正確答案,解析,題目卷檔名,答案卷檔名
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,26,What's the new classmates' name?,Mary.,Tom.,Shelly.,We don't know.,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,27,Where is Tom from?,He's from Korea.,He is from Taiwan.,He is from Panama.,He's from America.,,,C,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,28,Who are from Korea?,Tom and Tom's father,May and May's mother.,May's mother and Tom's grandfather.,Tom and May,,,C,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,29,at work,at home,at school,in the park,,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,31,my,your,his,her,,,,C,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,32,"True or False:下列敘述若與閱讀短文內容相符選T,不相符選F",(1)Carla is Korean.,T,F,,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,36,"(5)The students are in different countries. They are not friends.
T
F
請閱讀以下敘述,並回答下面題目","David is a nice boy, but his room is always a mess. Look! His jacket is under the bed. His socks are on the","desk. His English book is on the chair. His shoes are on the chair, too. A hamburger is under the chair. Where","are his pants? Hmm... they're on the bed. Oh, no! His dog is chewing his cellphone.",,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,37,Where are David's socks?,They're on the chair.,They're on the desk.,They're under the bed.,,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,38,What's under the bed?,A cellphone.,A jacket.,An English book.,,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,1,Kate: Who's that tall man?,Ivy: He's ________.,eating a hot dog,my father's friend,thin and handsome,,,B,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,2,"Tom:__________ is that girl？
John:She is our new classmate.",How,What,Where,Who,,,D,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,3,A: _________________ B: He's David.,What's your name?,Who's she?,Who's he?,,,,C,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,4,"A:
is that American?
B: He is Dan's father.",What,Where,How,Who,,,D,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,5,Your parents' son is your __________.,brother,sister,uncle,father,,,A,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,6,Your parents' daughter is your __________.,mother,sister,daughter,aunt,,,B,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,7,We call our mother's sister __________.,mother,sister,daughter,aunt,,,D,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,8,Grandparents are our parents' __________.,parents,sisters,brothers,grandchildren,,,A,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,9,Your father's sister is your __________.,uncle,mother,aunt,sister,,,C,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,10,Your mother's mother is your __________.,grandmother,granddaughter,aunt,sister,,,A,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,11,"Frank: __________
Cage: I am your math teacher.",What are you doing?,Who are you?,Where are you going?,How are you?,,,B,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,12,"Joy: __________ is the man?
Sam: He is my teacher.",Who,Where,How,What,,,A,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,13,"Lily: Who is the boy?
Anne: __________",He is cute.,He is a student.,He is sleeping.,He is my brother.,,,D,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,14,"Jack: __________
Jill: She is my sister.",Who is that boy?,Where is your sister?,How is your mother?,Who is the girl?,,,D,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,15,"Sally: Who ___________ he?
Donny: Kevin.",am,are,is,does,,,C,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
英語第一冊,語言學習結構內容,Who 引導的問句及答句,英語第一冊_語言學習結構內容_Who 引導的問句及答句,16,"Sandy: ________ is that boy?
David: He is Jeff.",Who,Where,What,How,,,A,,英語第一冊_語言學習結構內容_Who 引導的問句及答句_題目卷.pdf,英語第一冊_語言學習結構內容_Who 引導的問句及答句_答案卷.pdf
